country_code,country,name,role,id_match,year
ENG,England,Gareth Southgate,COACH,2024451,2020
RUS,Russia,Stanislav Cherchesov,COACH,2024450,2020
ESP,Spain,Roberto Martínez,COACH,2024450,2020
FIN,Finland,Markku Kanerva,COACH,2024449,2020
DEN,Denmark,Kasper Hjulmand,COACH,2024449,2020
SUI,Switzerland,Vladimir Petković,COACH,2024448,2020
WAL,Wales,Rob Page,COACH,2024448,2020
ITA,Italy,Roberto Mancini,COACH,2024447,2020
TUR,Türkiye,Şenol Güneş,COACH,2024447,2020
ENG,England,Gareth Southgate,COACH,2036211,2024
ESP,Spain,Luis de la Fuente,COACH,2036211,2024
ENG,England,Gareth Southgate,COACH,2036210,2024
NED,Netherlands,Ronald Koeman,COACH,2036210,2024
FRA,France,Didier Deschamps,COACH,2036209,2024
ESP,Spain,Luis de la Fuente,COACH,2036209,2024
ITA,Italy,Vincenzo Montella,COACH,2036207,2024
NED,Netherlands,Ronald Koeman,COACH,2036207,2024
SUI,Switzerland,Murat Yakin,COACH,2036208,2024
ENG,England,Gareth Southgate,COACH,2036208,2024
FRA,France,Didier Deschamps,COACH,2036206,2024
ESP,Spain,Roberto Martínez,COACH,2036206,2024
GER,Germany,Julian Nagelsmann,COACH,2036205,2024
ESP,Spain,Luis de la Fuente,COACH,2036205,2024
ITA,Italy,Vincenzo Montella,COACH,2036204,2024
GER,Germany,Ralf Rangnick,COACH,2036204,2024
NED,Netherlands,Ronald Koeman,COACH,2036203,2024
ROU,Romania,Edward Iordănescu,COACH,2036203,2024
SVN,Slovenia,Matjaž Kek,COACH,2036201,2024
ESP,Spain,Roberto Martínez,COACH,2036201,2024
GER,Germany,Domenico Tedesco,COACH,2036202,2024
FRA,France,Didier Deschamps,COACH,2036202,2024
FRA,France,Willy Sagnol,COACH,2036199,2024
ESP,Spain,Luis de la Fuente,COACH,2036199,2024
ITA,Italy,Francesco Calzona,COACH,2036200,2024
ENG,England,Gareth Southgate,COACH,2036200,2024
DEN,Denmark,Kasper Hjulmand,COACH,2036197,2024
GER,Germany,Julian Nagelsmann,COACH,2036197,2024
ITA,Italy,Luciano Spalletti,COACH,2036198,2024
SUI,Switzerland,Murat Yakin,COACH,2036198,2024
ITA,Italy,Vincenzo Montella,COACH,2036195,2024
CZE,Czechia,Ivan Hašek,COACH,2036195,2024
ESP,Spain,Roberto Martínez,COACH,2036196,2024
FRA,France,Willy Sagnol,COACH,2036196,2024
GER,Germany,Domenico Tedesco,COACH,2036193,2024
UKR,Ukraine,Serhiy Rebrov,COACH,2036193,2024
ROU,Romania,Edward Iordănescu,COACH,2036194,2024
ITA,Italy,Francesco Calzona,COACH,2036194,2024
SRB,Serbia,Dragan Stojković,COACH,2036190,2024
DEN,Denmark,Kasper Hjulmand,COACH,2036190,2024
SVN,Slovenia,Matjaž Kek,COACH,2036189,2024
ENG,England,Gareth Southgate,COACH,2036189,2024
POL,Poland,Michał Probierz,COACH,2036191,2024
FRA,France,Didier Deschamps,COACH,2036191,2024
GER,Germany,Ralf Rangnick,COACH,2036192,2024
NED,Netherlands,Ronald Koeman,COACH,2036192,2024
ITA,Italy,Luciano Spalletti,COACH,2036188,2024
CRO,Croatia,Zlatko Dalić,COACH,2036188,2024
ESP,Spain,Luis de la Fuente,COACH,2036187,2024
ESP,Spain,Sylvinho,COACH,2036187,2024
ITA,Italy,Marco Rossi,COACH,2036186,2024
SCO,Scotland,Steve Clarke,COACH,2036186,2024
GER,Germany,Julian Nagelsmann,COACH,2036185,2024
SUI,Switzerland,Murat Yakin,COACH,2036185,2024
ROU,Romania,Edward Iordănescu,COACH,2036181,2024
GER,Germany,Domenico Tedesco,COACH,2036181,2024
ESP,Spain,Roberto Martínez,COACH,2036183,2024
ITA,Italy,Vincenzo Montella,COACH,2036183,2024
CZE,Czechia,Ivan Hašek,COACH,2036184,2024
FRA,France,Willy Sagnol,COACH,2036184,2024
FRA,France,Didier Deschamps,COACH,2036180,2024
NED,Netherlands,Ronald Koeman,COACH,2036180,2024
GER,Germany,Ralf Rangnick,COACH,2036179,2024
POL,Poland,Michał Probierz,COACH,2036179,2024
UKR,Ukraine,Serhiy Rebrov,COACH,2036182,2024
ITA,Italy,Francesco Calzona,COACH,2036182,2024
ITA,Italy,Luciano Spalletti,COACH,2036175,2024
ESP,Spain,Luis de la Fuente,COACH,2036175,2024
ENG,England,Gareth Southgate,COACH,2036178,2024
DEN,Denmark,Kasper Hjulmand,COACH,2036178,2024
SRB,Serbia,Dragan Stojković,COACH,2036177,2024
SVN,Slovenia,Matjaž Kek,COACH,2036177,2024
SUI,Switzerland,Murat Yakin,COACH,2036174,2024
SCO,Scotland,Steve Clarke,COACH,2036174,2024
ITA,Italy,Marco Rossi,COACH,2036173,2024
GER,Germany,Julian Nagelsmann,COACH,2036173,2024
ESP,Spain,Sylvinho,COACH,2036176,2024
CRO,Croatia,Zlatko Dalić,COACH,2036176,2024
CZE,Czechia,Ivan Hašek,COACH,2036172,2024
ESP,Spain,Roberto Martínez,COACH,2036172,2024
FRA,France,Willy Sagnol,COACH,2036171,2024
ITA,Italy,Vincenzo Montella,COACH,2036171,2024
FRA,France,Didier Deschamps,COACH,2036168,2024
GER,Germany,Ralf Rangnick,COACH,2036168,2024
ITA,Italy,Francesco Calzona,COACH,2036169,2024
GER,Germany,Domenico Tedesco,COACH,2036169,2024
UKR,Ukraine,Serhiy Rebrov,COACH,2036170,2024
ROU,Romania,Edward Iordănescu,COACH,2036170,2024
ENG,England,Gareth Southgate,COACH,2036166,2024
SRB,Serbia,Dragan Stojković,COACH,2036166,2024
DEN,Denmark,Kasper Hjulmand,COACH,2036165,2024
SVN,Slovenia,Matjaž Kek,COACH,2036165,2024
NED,Netherlands,Ronald Koeman,COACH,2036167,2024
POL,Poland,Michał Probierz,COACH,2036167,2024
ESP,Spain,Sylvinho,COACH,2036164,2024
ITA,Italy,Luciano Spalletti,COACH,2036164,2024
CRO,Croatia,Zlatko Dalić,COACH,2036163,2024
ESP,Spain,Luis de la Fuente,COACH,2036163,2024
SUI,Switzerland,Murat Yakin,COACH,2036162,2024
ITA,Italy,Marco Rossi,COACH,2036162,2024
SCO,Scotland,Steve Clarke,COACH,2036161,2024
GER,Germany,Julian Nagelsmann,COACH,2036161,2024
